Phi[deg],Theta[deg],dB(GainTotal)
210,110,0.515383
220,110,-0.303741
230,110,-1.47858
240,110,-3.06421
250,110,-5.07031
260,110,-7.22352
270,110,-8.34305
280,110,-7.24358
290,110,-5.07481
300,110,-3.04306
310,110,-1.43766
320,110,-0.253225
330,110,0.565381
340,110,1.07923
350,110,1.34774
360,110,1.41925
0,120,1.54412
10,120,1.4556
20,120,1.19919
30,120,0.74994
40,120,0.076012
50,120,-0.842786
60,120,-1.98865
70,120,-3.25699
80,120,-4.36775
90,120,-4.84861
100,120,-4.40523
110,120,-3.30815
120,120,-2.03345
130,120,-0.870987
140,120,0.0691548
150,120,0.76456
160,120,1.22984
170,120,1.49223
180,120,1.57561
190,120,1.48964
200,120,1.22557
210,120,0.760357
220,120,0.0678967
230,120,-0.86601
240,120,-2.0231
250,120,-3.30532
260,120,-4.43316
270,120,-4.90842
280,120,-4.4179
290,120,-3.26928
300,120,-1.97205
310,120,-0.814566
320,120,0.106791
330,120,0.780381
340,120,1.22571
350,120,1.47168
360,120,1.54412
0,130,1.68436
10,130,1.61205
20,130,1.39913
30,130,1.03688
40,130,0.51985
50,130,-0.140382
60,130,-0.897396
70,130,-1.64975
80,130,-2.2316
90,130,-2.45673
100,130,-2.23671
110,130,-1.65766
120,130,-0.904445
130,130,-0.142367
140,130,0.526872
150,130,1.05537
160,130,1.4287
170,130,1.64875
180,130,1.7211
190,130,1.64742
200,130,1.4235
210,130,1.04272
220,130,0.503987
230,130,-0.176922
240,130,-0.952371
250,130,-1.72159
260,130,-2.31434
270,130,-2.53124
280,130,-2.27774
290,130,-1.65683
300,130,-0.876254
310,130,-0.109204
320,130,0.548553
330,130,1.05869
340,130,1.41377
350,130,1.61958
360,130,1.68436
0,140,1.82918
10,140,1.77404
20,140,1.61455
30,140,1.35261
40,140,0.997163
50,140,0.57094
60,140,0.117039
70,140,-0.29857
80,140,-0.595076
90,140,-0.701354
100,140,-0.589216
110,140,-0.2891
120,140,0.127568
130,140,0.581452
140,140,1.00831
150,140,1.36578
160,140,1.6303
170,140,1.79077
180,140,1.84239
190,140,1.78281
200,140,1.61148
210,140,1.33181
220,140,0.955576
230,140,0.508592
240,140,0.0364096
250,140,-0.392381
260,140,-0.692506
270,140,-0.787623
280,140,-0.649368
290,140,-0.316782
300,140,0.126589
310,140,0.59416
320,140,1.02195
330,140,1.37235
340,140,1.62732
350,140,1.78015
360,140,1.82918
0,150,1.96548
10,150,1.92909
20,150,1.82699
30,150,1.66519
40,150,1.45554
50,150,1.21741
60,150,0.978266
70,150,0.771623
80,150,0.631355
90,150,0.583004
100,150,0.635512
110,150,0.778128
120,150,0.984477
130,150,1.22102
140,150,1.45519
150,150,1.66027
160,150,1.81692
170,150,1.91256
180,150,1.94
190,150,1.89643
200,150,1.78339
210,150,1.60771
220,150,1.38288
230,150,1.13049
240,150,0.880428
250,150,0.668747
260,150,0.531717
270,150,0.496128
280,150,0.569627
290,150,0.737272
300,150,0.967257
310,150,1.22191
320,150,1.46727
330,150,1.6778
340,150,1.83672
350,150,1.93424
360,150,1.96548
0,160,2.07131
10,160,2.05404
20,160,2.00476
30,160,1.92825
40,160,1.83226
50,160,1.7273
60,160,1.62588
70,160,1.54109
80,160,1.48456
90,160,1.46428
100,160,1.48284
110,160,1.53693
120,160,1.61809
130,160,1.71457
140,160,1.8134
150,160,1.90233
160,160,1.97104
170,160,2.01193
180,160,2.02032
190,160,1.99473
200,160,1.9369
210,160,1.85199
220,160,1.74854
230,160,1.63813
240,160,1.53443
250,160,1.45159
260,160,1.40188
270,160,1.39324
280,160,1.42738
290,160,1.49935
300,160,1.59874
310,160,1.7121
320,160,1.82548
330,160,1.92642
340,160,2.00509
350,160,2.05467
360,160,2.07131
0,170,2.12615
10,170,2.12299
20,170,2.11095
30,170,2.0916
40,170,2.06727
50,170,2.04088
60,170,2.01555
70,170,1.99429
80,170,1.97956
90,170,1.973
100,170,1.97514
110,170,1.98536
120,170,2.00197
130,170,2.0225
140,170,2.04398
150,170,2.0634
160,170,2.07803
170,170,2.08575
180,170,2.08527
190,170,2.07629
200,170,2.05954
210,170,2.03673
220,170,2.0104
230,170,1.98365
240,170,1.9598
250,170,1.94194
260,170,1.93253
270,170,1.93304
280,170,1.9437
290,170,1.96347
300,170,1.99019
310,170,2.02093
320,170,2.05234
330,170,2.08112
340,170,2.10436
350,170,2.11982
360,170,2.12615
0,180,2.12627
10,180,2.12627
20,180,2.12627
30,180,2.12627
40,180,2.12627
50,180,2.12627
60,180,2.12627
70,180,2.12627
80,180,2.12627
90,180,2.12627
100,180,2.12627
110,180,2.12627
120,180,2.12627
130,180,2.12627
140,180,2.12627
150,180,2.12627
160,180,2.12627
170,180,2.12627
180,180,2.12627
190,180,2.12627
200,180,2.12627
210,180,2.12627
220,180,2.12627
230,180,2.12627
240,180,2.12627
250,180,2.12627
260,180,2.12627
270,180,2.12627
280,180,2.12627
290,180,2.12627
300,180,2.12627
310,180,2.12627
320,180,2.12627
330,180,2.12627
340,180,2.12627
350,180,2.12627
360,180,2.12627
